paramID,flag,steps
805,periodic-1T,10080
806,periodic-1T,10752
807,periodic-1T,34272
808,periodic-1T,10416
809,periodic-1T,24528
810,periodic-1T,10416
811,periodic-1T,10416
812,periodic-1T,35952
813,periodic-1T,10416
814,periodic-1T,10752
815,periodic-1T,10416
816,periodic-1T,10416
817,periodic-1T,10080
818,periodic-1T,10416
819,periodic-1T,10080
820,periodic-1T,10416
821,periodic-1T,10080
822,periodic-1T,10416
823,periodic-1T,10416
824,periodic-1T,70896
825,periodic-1T,10416
826,periodic-1T,33936
827,periodic-1T,10416
828,periodic-1T,10416
829,periodic-1T,10080
830,periodic-1T,47040
831,unsettled,1000000
832,periodic-1T,154896
833,periodic-1T,10752
834,periodic-1T,10416
835,periodic-1T,46032
836,periodic-1T,20832
837,periodic-1T,80976
838,periodic-1T,43680
839,periodic-1T,10080
840,periodic-1T,10416
841,periodic-1T,10416
842,periodic-1T,10080
843,periodic-1T,10752
844,periodic-1T,10416
845,periodic-1T,15120
846,periodic-1T,14448
847,periodic-1T,35280
848,periodic-1T,10416
849,periodic-1T,15120
850,periodic-1T,10416
851,periodic-1T,10416
852,periodic-1T,28896
853,periodic-1T,126336
854,periodic-1T,10416
855,periodic-1T,10416
856,periodic-1T,10416
857,periodic-1T,10416
858,periodic-1T,30576
859,periodic-1T,10416
860,periodic-1T,44016
861,periodic-1T,10416
862,periodic-1T,38304
863,periodic-1T,34608
864,periodic-1T,22176
865,periodic-1T,10416
866,periodic-1T,10416
867,periodic-1T,10416
868,periodic-1T,10080
869,periodic-1T,17808
870,periodic-1T,10416
871,periodic-1T,13776
872,periodic-1T,34944
873,periodic-1T,23856
874,periodic-1T,15120
875,periodic-1T,24864
876,periodic-1T,17136
877,periodic-1T,10080
878,periodic-1T,10416
879,periodic-1T,71904
880,periodic-1T,10416
881,periodic-1T,68544
882,periodic-1T,10416
883,periodic-1T,10080
884,periodic-1T,10080
885,periodic-1T,47712
886,periodic-1T,14112
887,periodic-1T,10080
888,periodic-1T,121296
889,periodic-1T,10416
890,periodic-1T,10416
891,periodic-1T,38640
892,periodic-1T,10416
893,periodic-1T,144144
894,periodic-1T,23856
895,periodic-1T,10080
896,periodic-1T,10416
897,periodic-1T,30576
898,periodic-1T,10080
899,periodic-1T,31248
900,periodic-1T,10416
901,periodic-1T,10416
902,periodic-1T,18144
903,periodic-1T,10416
904,periodic-1T,24192
905,periodic-1T,11424
906,periodic-1T,10080
907,periodic-1T,13776
908,periodic-1T,20160
909,periodic-1T,18144
910,periodic-1T,18144
911,periodic-1T,156240
912,periodic-1T,36960
913,periodic-1T,10416
914,periodic-1T,85344
915,periodic-1T,10080
916,periodic-1T,10416
917,periodic-1T,30912
918,periodic-1T,10752
919,periodic-1T,10080
920,periodic-1T,88032
921,periodic-1T,10416
922,periodic-1T,10416
923,periodic-1T,21168
924,periodic-1T,25200
925,periodic-1T,10080
926,periodic-1T,17136
927,periodic-1T,21168
928,periodic-1T,34608
929,periodic-1T,10416
930,periodic-1T,10080
931,periodic-1T,38976
932,periodic-1T,22512
933,periodic-1T,30912
934,periodic-1T,50736
935,periodic-1T,10416
936,periodic-1T,111888
937,periodic-1T,10080
938,periodic-1T,20496
939,periodic-1T,13776
940,periodic-1T,10080
941,periodic-1T,10416
942,periodic-1T,10416
943,periodic-1T,10416
944,periodic-1T,10752
945,periodic-1T,117936
946,periodic-1T,10416
947,periodic-1T,10080
948,periodic-1T,10416
949,periodic-1T,10080
950,periodic-1T,10416
951,periodic-1T,10416
